1	6	12	88	226	538	955
2	1	11	82	242	531	900
3	1	12	79	242	552	943
4	3	14	91	250	582	991
5	3	11	84	253	552	954
6	3	14	80	241	501	894
7	6	14	96	248	540	925
8	2	8	95	242	532	931
9	2	7	85	231	502	943
10	3	12	87	233	568	928
11	3	14	116	285	591	1013
12	1	9	89	253	573	989
13	1	6	87	246	545	971
14	1	10	88	222	521	900
15	1	11	91	239	578	984
16	1	6	85	240	539	995
17	3	9	73	245	535	916
18	1	10	92	248	566	1007
19	1	7	90	241	536	937
20	4	10	77	228	545	941
21	1	4	84	230	530	933
22	1	6	83	224	557	969
23	2	11	88	243	529	912
24	2	5	80	210	491	887
25	4	7	86	245	553	947
26	3	10	75	219	503	911
27	5	19	103	252	561	951
28	2	8	84	250	543	964
29	3	8	75	230	532	917
30	1	9	77	199	484	894
31	3	13	92	227	533	924
32	4	17	93	252	562	928
33	2	16	81	231	524	940
34	4	7	88	250	541	936
35	3	10	72	198	516	911
36	3	7	78	210	469	897
37	4	10	83	240	538	919
38	2	10	83	241	506	891
39	3	18	71	202	517	929
40	1	8	87	246	542	974
41	3	12	101	241	570	944
42	1	8	75	216	514	968
43	1	6	74	206	533	936
44	3	8	81	254	542	988
45	3	10	92	230	527	938
46	1	13	76	217	516	877
47	7	14	93	208	483	900
48	2	8	74	208	524	963
49	2	7	82	249	545	911
50	2	9	90	217	495	885
51	1	13	91	266	570	969
52	1	4	87	243	512	875
53	1	4	78	210	502	922
54	1	12	92	240	538	921
55	1	5	80	212	517	931
56	0	6	91	238	502	914
57	4	8	76	220	500	887
58	3	14	83	243	528	893
59	3	13	84	233	567	969
60	7	12	81	241	553	964
61	1	7	95	239	542	945
62	2	5	63	231	531	923
63	3	7	74	231	528	946
64	2	14	75	225	520	926
65	1	6	90	220	528	912
66	3	11	106	249	540	935
67	4	11	95	259	548	956
68	3	8	85	237	522	932
69	2	7	84	238	546	944
70	3	10	98	252	535	956
71	2	11	89	242	534	903
72	0	3	66	214	527	920
73	3	12	75	220	492	885
74	6	14	68	236	528	890
75	0	6	77	228	541	938
76	1	10	95	225	506	889
77	2	7	89	235	545	929
78	0	7	73	200	486	869
79	0	7	76	245	558	934
80	4	12	95	251	539	943
81	1	12	95	230	511	906
82	3	13	82	239	553	955
83	6	15	98	241	543	905
84	3	11	76	220	522	918
85	4	9	85	238	551	943
86	2	9	62	199	476	897
87	4	12	89	232	556	953
88	8	15	98	243	560	962
89	3	15	108	259	558	989
90	2	8	80	216	520	917
91	4	9	91	260	533	969
92	2	13	74	221	511	886
93	1	8	82	244	536	944
94	2	13	94	242	557	1001
95	0	9	97	246	584	990
96	1	11	89	240	542	946
97	3	15	85	213	527	890
98	2	9	91	251	566	963
99	1	9	91	237	518	917
100	2	15	93	227	517	923
101	2	9	74	233	518	902
102	1	9	79	235	556	950
103	1	5	72	224	505	909
104	3	7	90	262	573	996
105	1	9	82	251	565	962
106	3	6	90	241	529	952
107	2	8	89	236	540	915
108	3	9	73	224	491	899
109	2	7	71	228	536	918
110	0	11	75	228	511	898
111	3	8	98	243	548	948
112	2	7	85	226	547	937
113	2	8	87	240	525	928
114	3	7	73	241	556	967
115	1	7	77	218	537	916
116	4	11	82	252	551	982
117	3	11	87	255	548	967
118	0	10	73	230	537	949
119	7	17	94	261	573	970
120	4	11	83	217	533	966
121	4	13	87	239	547	939
122	1	8	82	240	486	854
123	1	8	83	223	516	923
124	2	8	65	202	489	894
125	3	11	74	216	516	907
126	3	8	96	257	569	992
127	1	7	80	232	523	901
128	4	9	77	219	524	922
129	3	12	96	249	555	961
130	0	11	101	261	566	959
131	2	6	87	237	555	911
132	7	14	92	259	536	946
133	1	15	90	242	541	953
134	3	7	98	261	557	956
135	0	7	77	201	492	890
136	1	12	96	283	594	996
137	5	12	95	241	569	948
138	3	13	98	262	594	1022
139	3	13	82	207	504	877
140	2	7	76	227	509	911
141	2	7	84	225	548	964
142	2	5	59	206	491	916
143	1	9	79	233	517	911
144	5	19	82	251	544	905
145	6	12	103	222	506	927
146	1	11	79	253	564	963
147	3	5	66	211	524	929
148	3	9	83	250	569	968
149	6	19	95	261	569	940
150	4	13	97	239	560	962
151	1	8	91	223	578	988
152	2	11	91	248	535	926
153	2	10	78	221	496	897
154	1	9	89	222	537	929
155	5	16	83	236	534	902
156	3	10	92	257	557	939
157	2	10	80	234	524	902
158	4	12	95	236	541	954
159	7	11	85	254	536	908
160	2	12	80	246	560	967
161	5	16	99	266	571	996
162	4	10	87	238	524	929
163	4	11	93	243	548	943
164	4	14	84	223	509	896
165	0	9	96	266	534	912
166	2	11	92	243	555	949
167	1	9	91	215	507	954
168	1	10	84	227	516	941
169	3	11	96	242	524	907
170	1	9	78	229	513	890
171	0	5	70	224	540	921
172	1	8	77	239	564	951
173	3	12	91	261	538	955
174	3	11	88	227	525	931
175	1	5	77	218	507	895
176	2	12	86	209	515	917
177	5	14	103	257	578	939
178	3	8	91	233	504	905
179	2	9	76	211	513	950
180	3	11	98	227	534	944
181	2	12	65	217	536	940
182	3	11	85	232	537	914
183	2	12	77	245	553	954
184	3	8	85	236	555	975
185	3	11	88	236	559	945
186	4	13	78	187	487	880
187	2	6	81	239	535	921
188	1	5	85	258	559	998
189	1	10	89	229	520	928
190	1	9	86	227	543	926
191	3	12	84	229	527	926
192	1	6	77	206	511	883
193	5	9	77	220	524	946
194	3	15	99	253	553	975
195	2	9	77	223	515	951
196	4	10	81	231	529	963
197	7	15	94	264	546	950
198	1	5	90	267	602	1017
199	3	11	78	233	511	922
200	0	9	83	218	535	916
