4.86	88.23	92.02	206.00	333.00	676.00
6.45	92.26	98.48	268.00	31.00	514.00
6.14	95.34	99.00	294.00	224.00	1476.00
4.93	90.88	89.61	13.00	359.00	1342.00
3.94	98.62	89.89	102.00	392.00	1427.00
4.04	97.04	91.79	87.00	230.00	1333.00
4.54	92.02	95.56	92.00	258.00	1187.00
4.49	96.34	93.38	59.00	9.00	910.00
4.91	86.13	98.49	299.00	472.00	509.00
4.87	91.95	94.56	454.00	433.00	1431.00
6.34	89.01	96.72	409.00	100.00	1488.00
5.31	88.09	89.00	408.00	214.00	1325.00
3.84	90.24	86.67	124.00	246.00	948.00
4.97	96.33	91.37	480.00	248.00	787.00
4.09	97.54	93.03	468.00	26.00	857.00
4.08	99.86	97.31	160.00	130.00	584.00
5.68	87.32	96.47	345.00	240.00	863.00
5.15	95.13	90.80	383.00	163.00	895.00
4.48	88.84	96.06	396.00	333.00	843.00
5.10	97.93	92.78	74.00	483.00	1117.00
3.99	93.93	89.57	307.00	50.00	1115.00
3.87	94.04	87.72	357.00	151.00	1086.00
3.64	93.88	90.40	355.00	262.00	757.00
6.26	96.53	91.42	163.00	90.00	902.00
4.28	99.87	92.49	417.00	396.00	519.00
6.00	88.06	97.43	161.00	395.00	1185.00
4.88	98.85	86.16	300.00	304.00	1094.00
4.05	96.65	97.04	442.00	106.00	1430.00
3.05	87.54	96.18	170.00	474.00	711.00
3.85	88.94	90.21	252.00	356.00	1057.00
4.04	94.65	87.72	218.00	497.00	502.00
5.51	90.59	95.15	409.00	366.00	1338.00
4.51	98.15	99.36	425.00	325.00	623.00
4.47	86.95	89.05	175.00	473.00	713.00
4.50	90.44	95.43	3.00	141.00	1035.00
5.15	92.28	94.68	275.00	131.00	836.00
5.80	94.93	96.48	447.00	115.00	899.00
4.91	91.36	95.63	389.00	311.00	730.00
5.99	92.75	86.75	207.00	408.00	1322.00
3.81	92.97	93.50	485.00	337.00	1194.00
4.79	88.44	99.58	221.00	259.00	841.00
5.68	89.90	99.12	8.00	307.00	800.00
5.38	94.35	99.24	457.00	445.00	1236.00
3.42	89.81	89.04	305.00	214.00	834.00
4.45	89.42	97.40	432.00	449.00	1274.00
4.59	95.01	97.22	250.00	390.00	1340.00
5.16	90.93	87.01	255.00	364.00	850.00
4.91	95.10	95.80	133.00	242.00	1464.00
4.09	98.06	92.80	193.00	101.00	544.00
3.51	89.82	98.25	161.00	103.00	1211.00
4.44	98.87	90.74	57.00	170.00	1426.00
4.81	87.51	96.93	288.00	136.00	737.00
5.27	92.35	92.60	287.00	51.00	1090.00
5.96	94.44	97.63	268.00	179.00	547.00
5.97	98.68	98.44	152.00	342.00	1110.00
6.44	92.41	92.87	246.00	92.00	1255.00
3.43	87.14	99.73	161.00	161.00	609.00
5.57	96.96	98.85	182.00	104.00	517.00
