5.09	92.70	92.55	232.41	268.36	1041.45	58
4.96	93.76	92.43	683.62	759.91	2758.52	56
4.87	92.77	93.78	7765.23	8368.82	27550.54	56
5.00	93.43	92.92	15754.18	16290.84	62559.47	57
5.25	93.41	92.59	30383.96	30479.63	118050.71	73
5.13	92.85	93.58	40665.13	35493.69	165096.12	52
5.07	92.54	93.59	44777.42	52172.55	199587.06	66
15.51	93.38	93.42	231.32	207.00	998.10	59
14.99	93.10	93.77	723.05	713.59	2833.38	61
14.78	93.15	92.45	6724.71	7931.54	27987.17	63
14.24	93.48	93.50	14798.43	14226.33	61539.29	63
14.81	92.98	92.97	31441.59	30867.07	127370.83	54
15.08	93.46	93.16	40248.82	39018.26	163860.50	72
14.96	92.88	92.12	45682.32	49274.75	192572.81	85
33.90	92.20	92.88	273.69	207.29	1017.05	58
34.77	93.67	93.16	786.69	736.45	3043.97	78
36.08	93.87	93.28	7335.89	8131.92	30379.07	61
34.25	93.09	93.28	17152.25	16471.27	59963.27	64
36.19	93.75	92.34	30538.78	30081.63	122928.57	65
35.22	93.23	93.18	41694.11	38768.14	162148.49	57
36.59	93.26	92.39	51468.36	50955.46	201154.18	56
